instances	feature_nb_cars	feature_nb_options	feature_nb_classes	feature_min_util	feature_avg_util	feature_max_util	feature_std_util	feature_avg_options	feature_min_pq_ratio	feature_avg_pq_ratio	feature_max_pq_ratio	feature_std_pq_ratio	feature_lcm_q_vals	feature_class_pop	algo_H	algo_F1u	algo_F1i	algo_IIu	algo_IIi	algo_IDu	algo_IDi	algo_IBu	algo_IBi	algo_F2u	algo_F2i	algo_F2Iu	algo_F2Ii	algo_F2Du	algo_F2Di	algo_F2Bu	algo_F2Bi
feb_0_48.in	0.0640854	0.230769	0.461538	0.0208333	0.229167	0.520833	0.19245	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	7.89358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_10_356.in	0.4753	0.230769	0.461538	0.0589888	0.418071	0.592697	0.180465	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_11_329.in	0.439252	0.230769	0.461538	0.18541	0.430091	0.650456	0.178917	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	43.3349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_12_203.in	0.271028	0.230769	0.461538	0.221675	0.486864	0.635468	0.165457	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	23.8274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_1_225.in	0.300401	0.230769	0.461538	0.00444444	0.297778	0.591111	0.232475	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	34.1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_13_380.in	0.507343	0.230769	0.461538	0.113158	0.554386	0.692105	0.201155	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	45.5747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_14_386.in	0.515354	0.230769	0.461538	0.158031	0.463731	0.660622	0.191961	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	47.7435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_15_214.in	0.285714	0.230769	0.461538	0.0233645	0.429128	0.817757	0.255325	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	26.0547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_16_43.in	0.0574099	0.230769	0.461538	0.0232558	0.399225	0.930233	0.313858	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	5.12468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_17_400.in	0.534045	0.230769	0.461538	0.1525	0.445	0.73	0.208826	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	48.6868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_18_216.in	0.288385	0.230769	0.461538	0.0231481	0.512346	0.782407	0.23355	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	26.5618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_19_397.in	0.53004	0.230769	0.461538	0.11335	0.440386	0.629723	0.199425	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	49.2836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_20_383.in	0.511348	0.230769	0.461538	0.0443864	0.424282	0.801567	0.271657	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	49.8823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_21_149.in	0.198932	0.230769	0.461538	0.00671141	0.373602	0.731544	0.258358	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	20.9104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_22_387.in	0.516689	0.230769	0.461538	0.00258398	0.4677	0.839793	0.265484	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	53.0765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_23_388.in	0.518024	0.230769	0.461538	0.00257732	0.363832	0.582474	0.207211	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	54.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_2_390.in	0.520694	0.230769	0.461538	0.0025641	0.268803	0.512821	0.186907	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	60.4977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_24_403.in	0.538051	0.230769	0.461538	0.00248139	0.33995	0.543424	0.21313	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	57.0856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_25_392.in	0.523364	0.230769	0.461538	0.00255102	0.435799	0.77551	0.258306	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	55.1558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_26_382.in	0.510013	0.230769	0.461538	0.0026178	0.351222	0.693717	0.235672	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	54.9627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_27_218.in	0.291055	0.230769	0.461538	0.334862	0.573394	0.779817	0.171738	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	30.6847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_28_348.in	0.464619	0.230769	0.461538	0.267241	0.510536	0.727011	0.172411	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	50.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
feb_29_373.in	0.497997	0.230769	0.461538	0.174263	0.407507	0.621984	0.176903	0.401786	0.166667	0.444444	0.75	0.213365	0.0285714	54.2585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
